"order_id","user_id","eval_set","order_number","order_dow","order_hour_of_day","days_since_prior_order"
54804,2499,"train",4,1,"16",30
288186,2504,"train",9,6,"10",7
918299,2519,"train",19,3,"11",8
883056,2543,"train",7,0,"15",30
273586,2563,"train",14,2,"17",29
287119,2587,"train",6,5,"06",22
132246,2591,"train",41,0,"19",6
919214,2602,"train",11,1,"12",10
328325,2603,"train",14,1,"12",21
577283,2604,"train",98,0,"19",4
343151,2623,"train",11,1,"10",27
214557,2635,"train",5,0,"11",30
202403,2642,"train",10,6,"17",27
232701,2647,"train",4,0,"11",30
767068,2652,"train",10,5,"22",30
251272,2675,"train",8,6,"15",30
49931,2680,"train",12,5,"09",4
476887,2683,"train",19,6,"11",6
228381,2686,"train",7,6,"11",12
480184,2717,"train",4,6,"08",12
824357,2725,"train",4,1,"11",30
767115,2729,"train",12,2,"11",15
463257,2754,"train",16,5,"12",4
580860,2763,"train",6,1,"21",7
691056,2793,"train",7,0,"03",9
40521,2805,"train",30,4,"15",9
260832,2808,"train",28,6,"12",13
655009,2848,"train",22,0,"12",30
559982,2850,"train",24,0,"07",3
961213,2867,"train",6,2,"13",30
921024,2869,"train",7,6,"17",7
573230,2874,"train",5,3,"11",12
739917,2875,"train",13,6,"11",7
197937,2879,"train",31,6,"07",9
914814,2887,"train",19,5,"17",23
42800,2889,"train",16,1,"18",13
946612,2895,"train",10,0,"21",30
407072,2900,"train",6,6,"13",30
645024,2925,"train",4,4,"17",30
114145,2927,"train",9,1,"10",30
702157,2930,"train",42,2,"14",22
917444,2931,"train",6,0,"15",11
671201,2940,"train",10,2,"18",30
668637,2942,"train",5,6,"13",30
392047,2956,"train",7,6,"09",4
299379,2971,"train",5,6,"11",14
489031,2987,"train",6,6,"09",13
118542,2998,"train",12,0,"14",9
564384,3003,"train",10,6,"10",21
532196,3028,"train",4,0,"15",30
632142,3031,"train",6,2,"14",30
609127,3044,"train",28,0,"10",6
292416,3055,"train",4,2,"08",30
803697,3057,"train",11,3,"16",17
218487,3069,"train",10,1,"19",28
450817,3073,"train",6,3,"08",18
13066,3076,"train",12,4,"09",30
435603,3099,"train",4,0,"22",30
971593,3116,"train",10,1,"14",30
434802,3131,"train",7,0,"09",7
35196,3142,"train",20,0,"14",3
913451,3159,"train",12,3,"19",29
988204,3168,"train",14,5,"12",30
378967,3171,"train",10,1,"18",30
983904,3179,"train",8,6,"11",14
859417,3183,"train",25,0,"12",15
124285,3187,"train",20,4,"20",10
524905,3198,"train",21,0,"10",16
447700,3203,"train",5,2,"10",30
245635,3205,"train",4,5,"09",14
869470,3232,"train",5,2,"09",5
116850,3251,"train",5,6,"12",8
860673,3253,"train",5,5,"09",30
742327,3273,"train",52,0,"15",7
672015,3276,"train",13,3,"14",30
103869,3279,"train",10,0,"09",30
19097,3298,"train",44,6,"09",13
157583,3318,"train",5,0,"21",30
15929,3329,"train",5,1,"15",4
391564,3330,"train",4,1,"13",30
927561,3357,"train",23,0,"19",30
89864,3372,"train",5,6,"17",11
348086,3373,"train",19,0,"12",14
356229,3390,"train",8,3,"08",13
794887,3398,"train",5,0,"20",12
954658,3400,"train",13,2,"15",18
862127,3405,"train",8,5,"10",15
324314,3421,"train",17,6,"17",30
545065,3428,"train",26,0,"15",7
385279,3460,"train",16,5,"09",11
823916,3502,"train",10,2,"13",20
903254,3512,"train",27,2,"08",13
559245,3513,"train",12,6,"01",30
961436,3522,"train",17,6,"12",30
683555,3525,"train",19,3,"14",6
577729,3538,"train",44,6,"11",1
603293,3544,"train",31,0,"08",7
833031,3554,"train",18,2,"13",6
560049,3556,"train",6,1,"10",17
810074,3583,"train",6,2,"13",30
885599,3587,"train",7,1,"18",15
463192,3608,"train",17,6,"14",13
893211,3609,"train",7,1,"22",30
30239,3617,"train",27,1,"14",19
474578,3620,"train",15,0,"12",14
615051,3642,"train",18,5,"08",7
920200,3652,"train",41,1,"08",11
770877,3660,"train",35,0,"09",14
621035,3674,"train",5,2,"06",30
666640,3686,"train",6,2,"14",30
664237,3704,"train",20,1,"15",11
952753,3711,"train",12,6,"17",30
268149,3727,"train",4,0,"13",9
322784,3729,"train",38,0,"21",4
775788,3740,"train",32,6,"09",30
904787,3743,"train",13,2,"15",30
974304,3766,"train",5,5,"18",10
213264,3800,"train",4,0,"18",30
863202,3804,"train",28,0,"09",10
877873,3806,"train",4,4,"22",23
618426,3824,"train",19,5,"17",10
33785,3837,"train",15,6,"22",20
568071,3843,"train",10,3,"23",23
112067,3850,"train",11,2,"13",7
349642,3870,"train",9,0,"09",30
466864,3874,"train",29,2,"17",15
946526,3884,"train",33,2,"08",30
262161,3886,"train",18,5,"18",6
529548,3900,"train",8,2,"14",12
881743,3903,"train",9,0,"12",30
17188,3904,"train",4,0,"23",27
241949,3923,"train",13,1,"18",30
394490,3938,"train",6,5,"14",9
953853,3962,"train",10,2,"14",30
70859,3966,"train",13,2,"12",30
299062,3996,"train",15,6,"12",30
279404,3999,"train",13,1,"16",30
449483,4036,"train",6,3,"08",30
821724,4037,"train",7,0,"09",12
729238,4046,"train",9,6,"10",26
420243,4051,"train",9,2,"18",6
961061,4074,"train",22,3,"11",30
509434,4075,"train",9,3,"06",9
743125,4104,"train",10,0,"14",26
154383,4118,"train",45,3,"16",13
147110,4121,"train",22,6,"15",30
580697,4133,"train",20,5,"11",30
869810,4145,"train",7,0,"21",5
827476,4154,"train",7,4,"18",19
435768,4167,"train",12,0,"17",28
851189,4173,"train",9,5,"11",22
412188,4205,"train",6,1,"10",14
603880,4207,"train",4,5,"14",30
315850,4212,"train",5,1,"11",22
178653,4217,"train",7,5,"09",15
281715,4231,"train",18,3,"20",14
758378,4235,"train",11,0,"16",30
446296,4247,"train",7,6,"13",20
448773,4254,"train",22,4,"10",30
528034,4265,"train",24,1,"12",3
452441,4279,"train",4,2,"11",30
327575,4285,"train",8,3,"12",30
998249,4296,"train",5,0,"12",22
588592,4316,"train",7,1,"14",4
845527,4321,"train",13,3,"14",30
791056,4331,"train",5,3,"17",30
954960,4339,"train",19,5,"14",30
991079,4343,"train",5,1,"16",30
867496,4348,"train",13,0,"12",30
344890,4356,"train",100,4,"10",0
897664,4368,"train",57,5,"13",7
788032,4372,"train",6,0,"12",28
730844,4410,"train",6,5,"10",7
821784,4414,"train",11,4,"16",5
867392,4415,"train",42,1,"19",7
216629,4421,"train",4,1,"12",30
937059,4452,"train",11,4,"10",15
205479,4473,"train",4,5,"21",30
3649,4483,"train",8,3,"07",30
583113,4486,"train",35,4,"08",24
685503,4510,"train",12,0,"12",3
670406,4516,"train",17,6,"17",18
916851,4530,"train",60,0,"09",8
870731,4535,"train",13,4,"11",30
799945,4538,"train",19,1,"16",21
445791,4551,"train",14,6,"16",16
35864,4555,"train",8,2,"22",4
772960,4567,"train",13,3,"16",6
172847,4591,"train",40,3,"14",1
815874,4592,"train",7,2,"10",22
385170,4605,"train",8,4,"10",11
430646,4618,"train",25,6,"07",6
623591,4629,"train",39,0,"10",12
613071,4659,"train",59,0,"12",2
944841,4663,"train",37,0,"11",4
278134,4666,"train",10,0,"11",28
485780,4669,"train",4,3,"19",30
387025,4677,"train",5,6,"14",30
285388,4700,"train",18,3,"14",14
262087,4706,"train",8,1,"12",8
360506,4721,"train",4,0,"11",30
340851,4726,"train",13,3,"16",23
918345,4752,"train",71,2,"09",7
916720,4763,"train",7,6,"13",5
613626,4770,"train",4,3,"09",15
295261,4775,"train",5,0,"22",7
366375,4791,"train",7,5,"15",30
983325,4793,"train",22,4,"16",6
613638,4794,"train",18,1,"14",7
55149,4814,"train",10,3,"10",4
419571,4815,"train",12,2,"12",27
208789,4824,"train",5,2,"08",21
804120,4829,"train",8,2,"20",6
833715,4847,"train",19,1,"16",20
503968,4848,"train",14,1,"09",18
836851,4857,"train",4,0,"17",6
180247,4874,"train",14,2,"13",30
306460,4887,"train",5,0,"15",2
682438,4888,"train",15,3,"14",30
248212,4908,"train",4,5,"13",18
343818,4944,"train",46,3,"09",9
568601,4945,"train",5,1,"09",30
368504,4994,"train",28,3,"15",30
504064,4998,"train",8,1,"11",28
440714,5007,"train",13,1,"12",6
472055,5014,"train",4,5,"14",17
250335,5020,"train",5,6,"13",30
890832,5029,"train",7,5,"17",7
219884,5054,"train",7,0,"13",30
511598,5055,"train",18,2,"11",13
380217,5081,"train",26,1,"14",0
422073,5091,"train",5,6,"18",30
788940,5105,"train",17,6,"17",30
860197,5115,"train",10,5,"21",9
705795,5131,"train",19,6,"13",2
612556,5132,"train",10,1,"14",9
81392,5135,"train",12,3,"12",30
262687,5137,"train",10,4,"21",30
607572,5142,"train",11,5,"22",30
454137,5143,"train",15,6,"13",30
100549,5146,"train",4,6,"19",30
140639,5151,"train",26,5,"20",30
917387,5165,"train",15,2,"08",8
936755,5172,"train",11,0,"10",30
741524,5178,"train",12,1,"13",23
974268,5181,"train",18,6,"09",30
131382,5194,"train",5,6,"09",5
531280,5201,"train",6,2,"07",30
338600,5229,"train",13,3,"16",2
547769,5245,"train",15,4,"17",12
433131,5265,"train",5,5,"14",30
803269,5270,"train",15,0,"17",30
741235,5277,"train",5,0,"07",30
252109,5281,"train",22,6,"14",16
701202,5288,"train",42,6,"14",4
326405,5294,"train",7,1,"07",21
465549,5311,"train",15,0,"14",2
284816,5324,"train",8,0,"14",21
287015,5336,"train",6,3,"14",29
41175,5345,"train",17,0,"15",30
555737,5370,"train",15,0,"11",11
418383,5371,"train",12,6,"17",4
867109,5392,"train",39,2,"12",4
380940,5400,"train",30,2,"14",8
5117,5403,"train",4,1,"16",30
997145,5406,"train",28,6,"09",4
204609,5411,"train",10,1,"17",11
926050,5413,"train",4,4,"09",23
354341,5415,"train",4,1,"16",30
582316,5416,"train",12,0,"16",7
820408,5426,"train",4,2,"12",10
361061,5440,"train",72,0,"08",6
571794,5454,"train",12,0,"15",28
468155,5455,"train",5,6,"22",3
836347,5458,"train",47,1,"18",8
317225,5466,"train",38,5,"13",14
866534,5468,"train",13,6,"11",30
498536,5505,"train",4,0,"13",30
117370,5506,"train",4,3,"12",8
675163,5515,"train",6,0,"14",18
925899,5534,"train",6,3,"07",30
120094,5541,"train",50,3,"16",15
19810,5563,"train",4,0,"00",21
687334,5578,"train",16,0,"11",1
149889,5581,"train",18,5,"23",5
646569,5584,"train",7,6,"07",7
25936,5594,"train",5,4,"12",30
479890,5620,"train",5,2,"13",30
246788,5647,"train",18,0,"15",14
554212,5650,"train",4,3,"17",30
611030,5662,"train",10,2,"13",30
599726,5663,"train",14,5,"13",28
866826,5668,"train",4,4,"09",30
245956,5684,"train",50,1,"17",5
570166,5699,"train",12,5,"15",5
623746,5756,"train",76,3,"10",6
373658,5767,"train",4,0,"14",15
435976,5768,"train",16,0,"11",8
715826,5776,"train",61,5,"10",5
900625,5788,"train",10,5,"14",18
596507,5802,"train",52,0,"13",0
63759,5828,"train",23,2,"13",23
135228,5838,"train",5,0,"12",5
163290,5840,"train",4,6,"16",30
253281,5842,"train",6,0,"09",29
240564,5846,"train",10,0,"22",14
392248,5863,"train",5,0,"12",11
510056,5870,"train",23,5,"20",2
696902,5875,"train",7,1,"12",10
609243,5948,"train",25,0,"18",2
697470,5950,"train",47,2,"17",2
6096,5965,"train",6,2,"18",9
802132,5980,"train",26,3,"14",7
74454,5985,"train",15,0,"11",13
675977,5991,"train",6,1,"11",5
591133,6004,"train",27,0,"11",12
831944,6006,"train",4,4,"22",10
288423,6021,"train",5,2,"18",16
383311,6022,"train",4,2,"11",8
788654,6023,"train",7,6,"11",26
27938,6027,"train",5,5,"20",30
220587,6038,"train",14,2,"13",24
846022,6055,"train",10,0,"10",14
738088,6083,"train",19,1,"06",7
924612,6107,"train",25,3,"08",14
27128,6108,"train",7,3,"18",11
875707,6111,"train",12,4,"18",9
938501,6113,"train",7,0,"06",12
832910,6134,"train",5,1,"09",13
496302,6137,"train",7,4,"10",6
987794,6152,"train",6,5,"15",30
671430,6171,"train",37,5,"11",19
779191,6189,"train",5,2,"16",30
890775,6191,"train",9,3,"18",24
321411,6218,"train",41,5,"15",7
261256,6231,"train",5,5,"11",7
538261,6244,"train",26,0,"15",30
346370,6245,"train",10,6,"23",18
691227,6249,"train",17,2,"16",20
545805,6258,"train",4,4,"18",30
991824,6261,"train",6,6,"12",14
264142,6266,"train",4,4,"14",30
390184,6315,"train",13,4,"09",3
563024,6317,"train",36,1,"15",7
785145,6326,"train",4,1,"15",30
344544,6341,"train",6,4,"17",8
689035,6353,"train",4,1,"14",30
683104,6355,"train",18,5,"09",4
803345,6359,"train",7,0,"11",7
351516,6367,"train",20,2,"19",23
65571,6372,"train",56,5,"07",6
875903,6374,"train",15,0,"09",30
765102,6387,"train",20,2,"14",7
265752,6412,"train",4,4,"06",30
322217,6419,"train",19,6,"13",30
503920,6422,"train",7,0,"15",7
641471,6426,"train",9,3,"10",30
413586,6438,"train",20,0,"09",30
365869,6460,"train",7,6,"18",5
259284,6463,"train",25,0,"11",14
460639,6511,"train",25,4,"14",5
219626,6517,"train",15,0,"11",30
581942,6520,"train",8,1,"16",30
193768,6526,"train",4,4,"11",30
143738,6529,"train",17,5,"09",7
893293,6537,"train",38,4,"10",30
647305,6543,"train",15,0,"16",16
181367,6559,"train",10,1,"11",4
69850,6575,"train",48,6,"19",7
966739,6578,"train",15,0,"21",17
256465,6591,"train",9,5,"15",30
782972,6606,"train",21,1,"17",9
328595,6620,"train",21,5,"07",9
583979,6622,"train",9,1,"12",10
135032,6635,"train",23,2,"13",20
985228,6656,"train",7,5,"15",16
691402,6677,"train",8,0,"09",14
358437,6686,"train",24,1,"15",30
688494,6699,"train",15,5,"14",9
773174,6701,"train",12,1,"10",21
323728,6704,"train",33,0,"15",7
971724,6721,"train",42,0,"11",20
839395,6732,"train",9,6,"13",30
381310,6745,"train",5,1,"11",30
70345,6749,"train",7,3,"10",30
879183,6756,"train",51,6,"14",5
261647,6757,"train",16,4,"08",12
832208,6759,"train",8,0,"10",30
253975,6801,"train",80,5,"13",7
394773,6845,"train",6,1,"06",14
188859,6875,"train",5,0,"08",30
186912,6880,"train",21,2,"23",27
595645,6886,"train",10,2,"14",30
101270,6902,"train",9,5,"18",27
21605,6906,"train",11,5,"13",28
529859,6910,"train",36,0,"14",28
863205,6921,"train",61,1,"11",11
110341,6942,"train",7,1,"13",30
433395,6962,"train",17,5,"14",23
214395,6963,"train",14,5,"08",30
504934,6973,"train",4,0,"07",30
143219,6986,"train",31,0,"19",0
3563,6990,"train",29,0,"10",22
301906,7007,"train",8,3,"15",30
983456,7015,"train",56,0,"16",3
391854,7029,"train",4,0,"12",8
212512,7030,"train",5,2,"18",30
246460,7032,"train",4,2,"15",30
790889,7044,"train",31,4,"09",30
361117,7047,"train",12,6,"07",30
859962,7066,"train",4,5,"12",5
195836,7067,"train",6,6,"14",30
978871,7085,"train",11,0,"11",11
22290,7086,"train",14,0,"10",30
328212,7091,"train",4,5,"14",11
30200,7100,"train",18,1,"12",23
700754,7103,"train",34,6,"11",15
614817,7106,"train",6,6,"15",5
453386,7111,"train",7,4,"11",5
576844,7118,"train",11,2,"15",30
618863,7133,"train",9,1,"12",30
835864,7134,"train",6,6,"14",30
544303,7136,"train",45,2,"15",8
274489,7165,"train",14,5,"14",9
3817,7172,"train",23,3,"13",7
634045,7177,"train",6,1,"15",30
605197,7196,"train",14,6,"14",7
335822,7197,"train",4,0,"12",29
731202,7209,"train",52,1,"09",7
406662,7212,"train",6,5,"08",30
898804,7221,"train",18,0,"16",7
506143,7223,"train",5,6,"13",26
670619,7226,"train",23,1,"15",13
1865,7258,"train",9,5,"12",30
127277,7260,"train",5,1,"15",30
498746,7296,"train",29,0,"15",30
517464,7316,"train",15,6,"20",24
281209,7322,"train",37,3,"16",13
677884,7324,"train",10,5,"10",0
62714,7325,"train",17,0,"12",30
965923,7338,"train",57,6,"08",8
386540,7341,"train",5,0,"10",30
747800,7344,"train",14,6,"19",3
676515,7357,"train",4,4,"14",30
769467,7361,"train",7,2,"20",15
213367,7383,"train",6,1,"16",9
221196,7404,"train",17,0,"07",30
897781,7412,"train",30,2,"09",30
808439,7414,"train",10,3,"11",30
878948,7424,"train",11,2,"10",15
565000,7436,"train",34,5,"08",8
275629,7449,"train",38,1,"16",26
602273,7450,"train",15,4,"18",21
723964,7451,"train",5,3,"17",30
711134,7453,"train",34,2,"08",4
745430,7455,"train",6,5,"20",30
835777,7456,"train",12,0,"15",30
688586,7467,"train",7,6,"11",30
996394,7474,"train",15,4,"10",11
212187,7506,"train",15,5,"09",18
121962,7535,"train",14,3,"04",9
147478,7576,"train",10,0,"10",30
564976,7579,"train",30,6,"17",10
125725,7594,"train",4,0,"14",14
155622,7603,"train",28,1,"16",30
548442,7607,"train",5,2,"15",30
806509,7627,"train",23,0,"15",15
579706,7643,"train",25,4,"15",7
802318,7672,"train",7,4,"12",3
401080,7677,"train",20,5,"12",21
104854,7689,"train",8,2,"16",16
1994,7691,"train",9,2,"10",14
365308,7705,"train",5,0,"23",28
203202,7715,"train",5,6,"09",23
849457,7726,"train",13,0,"10",7
631532,7734,"train",8,1,"13",24
216313,7742,"train",21,3,"05",19
802911,7751,"train",27,1,"21",28
42461,7766,"train",6,4,"17",12
362593,7772,"train",7,4,"21",10
135287,7781,"train",10,1,"09",11
172849,7785,"train",5,3,"19",17
22150,7797,"train",4,0,"14",30
929962,7802,"train",6,1,"12",20
246988,7823,"train",52,2,"18",3
918151,7828,"train",4,4,"07",25
88003,7868,"train",9,5,"19",30
280954,7872,"train",18,1,"11",6
827126,7874,"train",28,5,"11",1
624740,7885,"train",22,6,"11",6
12510,7893,"train",6,1,"10",7
912906,7895,"train",9,1,"16",21
80103,7896,"train",32,5,"21",4
238839,7908,"train",51,6,"06",5
982894,7919,"train",5,1,"08",30
600173,7942,"train",16,4,"15",30
775341,7947,"train",23,3,"17",0
926016,7976,"train",7,0,"17",27
927476,7979,"train",5,0,"15",30
316737,7983,"train",10,3,"12",29
795627,7995,"train",8,0,"16",3
991150,8014,"train",53,4,"15",17
813713,8026,"train",4,2,"17",30
315178,8039,"train",8,3,"09",0
375256,8045,"train",4,4,"23",26
499831,8054,"train",50,0,"22",8
993889,8057,"train",4,2,"18",23
219136,8062,"train",22,5,"08",5
331218,8093,"train",8,2,"14",8
710162,8097,"train",11,6,"12",6
995649,8104,"train",17,0,"15",30
289521,8112,"train",21,1,"09",7
951487,8116,"train",49,5,"19",12
816234,8132,"train",29,0,"09",8
219668,8135,"train",9,0,"09",14
138480,8138,"train",14,3,"18",14
667315,8145,"train",8,3,"17",30
324212,8159,"train",18,6,"10",30
42008,8160,"train",8,4,"11",15
749143,8162,"train",15,3,"10",4
515688,8169,"train",6,6,"17",16
688936,8171,"train",4,2,"06",30
530111,8173,"train",44,2,"10",30
204706,8187,"train",36,0,"18",7
867396,8202,"train",4,1,"07",24
416471,8209,"train",49,5,"13",15
94667,8220,"train",100,1,"13",3
183697,8222,"train",4,6,"13",6
92364,8227,"train",5,6,"09",30
839208,8228,"train",27,3,"12",9
551072,8231,"train",6,6,"10",17
210317,8243,"train",42,6,"17",12
493288,8257,"train",46,0,"17",5
287585,8258,"train",12,5,"19",30
803642,8259,"train",5,0,"08",30
60717,8264,"train",6,0,"09",1
716798,8269,"train",11,0,"19",21
641264,8279,"train",8,4,"12",3
25641,8288,"train",8,1,"16",5
388976,8289,"train",43,5,"07",7
447070,8292,"train",23,0,"18",13
472807,8316,"train",10,5,"16",30
847195,8325,"train",7,4,"12",30
78345,8346,"train",10,1,"15",26
60130,8353,"train",5,4,"19",17
739207,8356,"train",52,0,"17",2
183856,8362,"train",59,6,"23",7
114435,8378,"train",5,3,"13",30
317499,8382,"train",4,2,"19",4
332036,8390,"train",5,3,"12",30
935104,8432,"train",26,5,"18",30
880997,8448,"train",41,6,"17",5
560203,8449,"train",23,6,"23",13
